,0,1,2
0,5,0.0,0.05194505171177611
1,5,0.1,0.23984420129414866
2,5,0.5,0.23703720421368207
3,5,0.8,0.23995359827839888
4,5,1.0,0.25473730876807665
5,5,1.5,0.2409904040253702
6,5,1.7999999999999998,0.24781783869858534
7,5,2.0,0.24102040074958522
8,5,3.0,0.25748598588101124
9,5,4.0,0.2557873838975305
10,5,5.0,0.2564230164359502
11,10,0.0,0.058520883042442726
12,10,0.1,0.21582285925848246
13,10,0.5,0.2430033012763751
14,10,0.8,0.2437696393670277
15,10,1.0,0.2473235158457557
16,10,1.5,0.2305180192338681
17,10,1.7999999999999998,0.23808311883642447
18,10,2.0,0.24603812145083856
19,10,3.0,0.24696440760644087
20,10,4.0,0.2384424568930486
21,10,5.0,0.2536967161275427
22,25,0.0,0.06024507668235656
23,25,0.1,0.06631832446900877
24,25,0.5,0.13969191354287774
25,25,0.8,0.16571885175575352
26,25,1.0,0.17222443374960383
27,25,1.5,0.1932505917173721
28,25,1.7999999999999998,0.2109730957778401
29,25,2.0,0.21819865201857622
30,25,3.0,0.2241348177168554
31,25,4.0,0.23597721667424543
32,25,5.0,0.2377985214616986
33,50,0.0,0.05887020777504494
34,50,0.1,0.06100418683721066
35,50,0.5,0.08043384778094331
36,50,0.8,0.09320531712627757
37,50,1.0,0.10481762088827117
38,50,1.5,0.11827051785509646
39,50,1.7999999999999998,0.12247656241455093
40,50,2.0,0.12692620741300684
41,50,3.0,0.1624107085139936
42,50,4.0,0.1591787438792072
43,50,5.0,0.17516764052580194
44,75,0.0,0.055724810225964254
45,75,0.1,0.06163570815088309
46,75,0.5,0.05414399875149626
47,75,0.8,0.06891511097068642
48,75,1.0,0.06544628804931231
49,75,1.5,0.06943381279275754
50,75,1.7999999999999998,0.09086467951312181
51,75,2.0,0.09584770787709603
52,75,3.0,0.10704236303782248
53,75,4.0,0.13477999796056142
54,75,5.0,0.1342301652099917
55,100,0.0,0.059997161856348284
56,100,0.1,0.05451586627320717
57,100,0.5,0.054130340105343226
58,100,0.8,0.0595768405576075
59,100,1.0,0.054703640523431976
60,100,1.5,0.06133904387823121
61,100,1.7999999999999998,0.06212448518025007
62,100,2.0,0.07913321819113237
63,100,3.0,0.0821575570001335
64,100,4.0,0.0936819681461627
65,100,5.0,0.10608549175996831
